source_name,source_link,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,Date,Time,year,month
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/chardham-yatra-suspended-due-to-rains/752982.html,unknown,landslide,rain,medium,unknown,0.0,,,India,Himachal Pradesh,2994.0,Dagshai,5.03899,77.0206,30.9209,2011-07-08,00:00:00,2011,7
The Times Of India,http://timesofindia.indiatimes.com/india/JK-highway-closed-for-several-hours-due-to-landslides/articleshow/32369230.cms#http://timesofindia.indiatimes.com/india/JK-highway-closed-for-several-hours-due-to-landslides/articleshow/32369230.cms,5km,landslide,unknown,medium,above_road,0.0,0.0,,India,Kashmir,7317.0,Rāmban,0.79254,75.2449,33.2355,2014-03-20,00:00:00,2014,3
Tribune,http://www.tribuneindia.com/news/jammu-kashmir/landslide-shuts-jammu-kishtwar-highway-3-000-stranded/56664.html,50km,landslide,continuous_rain,medium,above_road,0.0,0.0,,India,Kashmir,20553.0,Kishtwār,15.82736,75.8103,33.1754,2015-03-21,00:00:00,2015,3
articles.economictimes.indiatimes.com,http://articles.economictimes.indiatimes.com/2013-07-29/news/40872756_1_landslides-amarnath-pilgrims-men-and-machines,1km,landslide,rain,small,unknown,,,,India,Kashmir,80447.0,Udhampur,9.28588,75.1945,32.9918,2013-07-29,10:00:00,2013,7
BBC News,http://www.bbc.com/news/world-asia-34513853,50km,rock_fall,unknown,medium,urban,13.0,0.0,,Pakistan,Sindh,11624219.0,Karachi,4.54816,67.0645,24.9434,2015-10-13,23:00:00,2015,10
The Big Story,http://www.bigstory.ap.org/article/f872581c060c4e39af484131afa1614f/mudslide-buries-8-students-northern-pakistan,unknown,landslide,downpour,medium,above_road,8.0,0.0,,Pakistan,Balochistān,0.0,‘Alāqahdārī Aṯghar,78.30843,68.1831,31.7655,2016-03-19,00:00:00,2016,3
indianexpress,http://www.indianexpress.com/news/42-dead-as-rain-plays-havoc-in-HP/363948,10km,landslide,downpour,medium,unknown,6.0,,,India,Himachal Pradesh,27544.0,Nāhan,0.57633,77.3,30.56,2008-09-19,00:00:00,2008,9
sify.com,http://sify.com/news/roads-in-upper-shimla-hit-after-landslides-news-national-kjuuafecfje.html],10km,landslide,downpour,medium,unknown,0.0,,,India,Himachal Pradesh,8160.0,Rohru,5.99826,77.7155,31.1581,2010-09-20,00:00:00,2010,9
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/rains-disrupt-air-and-road-traffic-in-himachal/743822.html,25km,landslide,continuous_rain,medium,unknown,0.0,,,India,Himachal Pradesh,8341.0,Manāli,3.53288,77.1898,32.2282,2011-06-29,00:00:00,2011,6
Tribune,http://tribune.com.pk/story/919638/togh-sarai-camp-displaced-child-dies-in-landslide/,5km,landslide,rain,medium,natural_slope,1.0,3.0,,Pakistan,Khyber Pakhtunkhwa,36150.0,Hangu,0.68657,71.0525,33.53,2015-07-13,00:00:00,2015,7
India Today,http://indiatoday.intoday.in/story/one-killed-four-injured-in-himachal-landslide/1/706274.html,10km,rock_fall,downpour,medium,above_road,1.0,4.0,,India,Himachal Pradesh,40283.0,Solan,3.05457,77.09003076,30.89221723,2016-07-02,09:00:00,2016,7
Pamir Times,http://pamirtimes.net/2010/07/30/destroyed-link-road-and-water-channel-in-avgrach-valley-remain-unnoticed/,50km,debris_flow,rain,medium,unknown,0.0,,,Pakistan,Khyber Pakhtunkhwa,97363.0,Swābi,1.96341,72.46,34.1042,2010-07-25,00:00:00,2010,7
sananews,http://www.sananews.net/english/2012/02/4-of-a-family-among-6-killed-on-highway/,10km,complex,unknown,medium,unknown,6.0,,,India,Kashmir,7317.0,Rāmban,0.69501,75.2441,33.2361,2012-02-19,07:00:00,2012,2
www.business-standard.com,http://www.indianexpress.com/news/50-major-landslides-hit-four-road-stretches-in-uttarakhand-govt/1131703/,unknown,landslide,downpour,medium,unknown,0.0,,,India,Himachal Pradesh,6206.0,Rāmpur,19.51283,77.4614,31.348,2013-06-16,00:00:00,2013,6
